target,model,contrast_candidate,feature,r_squared,adj_r_squared,raw_coef,std_coef,std_error_ols,std_error_hc3,t_stat_hc3,p_value_hc3,ci_95_hc3_lower,ci_95_hc3_upper,ci_95_boot_lower,ci_95_boot_upper,std_coef_no_influential,vif,bp_hetero_pvalue,jb_normality_pvalue,influential_cases_count,p_value_holm
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_a,delta_a,0.9332,0.9322,0.0008,0.0362,0.0004,0.0008,1.0028,0.3172300779930721,-0.0008,0.0025,-0.0005,0.0026,0.0059,1.05,0.0,0.0,12,0.3172300779930721
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_a,fst_medium,0.9332,0.9322,0.0446,0.0871,0.0114,0.006,7.4289,3.3952840539086537e-12,0.0328,0.0565,0.0326,0.0555,0.0917,1.43,0.0,0.0,12,3.3952840539086537e-12
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_a,fst_dark,0.9332,0.9322,0.5512,1.0026,0.0124,0.0139,39.5153,0.0,0.5237,0.5787,0.5213,0.5791,1.0292,1.47,0.0,0.0,12,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_a,delta_a,0.9406,0.9391,0.0031,0.1313,0.0007,0.001,3.206,0.0015768687141857196,0.0012,0.005,0.0014,0.0053,0.087,2.82,0.0,0.0,16,0.007884343570928598
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_a,fst_medium,0.9406,0.9391,0.0276,0.0538,0.0115,0.0086,3.2038,0.0015883494729047598,0.0106,0.0445,0.0112,0.0427,0.0463,1.63,0.0,0.0,16,0.0015883494729047598
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_a,fst_dark,0.9406,0.9391,0.5293,0.9628,0.0126,0.0183,28.9672,0.0,0.4933,0.5654,0.495,0.563,0.9737,1.7,0.0,0.0,16,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_a,lesion_size,0.9406,0.9391,0.4119,0.0552,0.1337,0.1465,2.8111,0.005448895667167664,0.1229,0.701,0.2229,0.8043,0.0436,1.04,0.0,0.0,16,0.005448895667167664
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_a,artifacts,0.9406,0.9391,-0.1625,-0.1108,0.0425,0.0832,-1.9538,0.052173208494549206,-0.3266,0.0015,-0.3098,-0.0232,-0.1008,2.71,0.0,0.0,16,0.052173208494549206
boundary_ambiguity_class_c,Model_1_Univariate,delta_b,delta_b,0.0191,0.0141,-0.0016,-0.1381,0.0008,0.0011,-1.4136,0.1590753446269666,-0.0038,0.0006,-0.0039,0.0003,-0.1831,1.0,0.004,0.0,10,0.1590753446269666
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_b,delta_b,0.9332,0.9322,-0.0004,-0.0364,0.0002,0.0004,-1.0307,0.3039707889589325,-0.0012,0.0004,-0.0012,0.0002,-0.0077,1.06,0.0,0.0,12,0.3039707889589325
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_b,fst_medium,0.9332,0.9322,0.0522,0.1019,0.0115,0.0071,7.3891,4.289457677941755e-12,0.0383,0.0662,0.04,0.0652,0.0956,1.47,0.0,0.0,12,4.289457677941755e-12
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_b,fst_dark,0.9332,0.9322,0.5565,1.0123,0.0121,0.0145,38.3612,0.0,0.5279,0.5851,0.5252,0.584,1.0314,1.4,0.0,0.0,12,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_b,delta_b,0.9404,0.9388,-0.0014,-0.1272,0.0003,0.0005,-3.1006,0.0022217782729461177,-0.0024,-0.0005,-0.0025,-0.0007,-0.0908,2.77,0.0,0.0,16,0.008887113091784471
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_b,fst_medium,0.9404,0.9388,0.0549,0.1071,0.011,0.0075,7.2901,7.87236942301206e-12,0.04,0.0697,0.0419,0.0695,0.1026,1.48,0.0,0.0,16,7.87236942301206e-12
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_b,fst_dark,0.9404,0.9388,0.5489,0.9984,0.0116,0.0157,34.8694,0.0,0.5178,0.5799,0.5181,0.5792,1.0114,1.44,0.0,0.0,16,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_b,lesion_size,0.9404,0.9388,0.406,0.0544,0.134,0.1449,2.8022,0.005595043463627158,0.1202,0.6918,0.222,0.7991,0.0333,1.04,0.0,0.0,16,0.005595043463627158
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_b,artifacts,0.9404,0.9388,-0.1558,-0.1062,0.0419,0.0861,-1.809,0.07201416998800192,-0.3256,0.0141,-0.3033,-0.016,-0.1031,2.63,0.0,0.0,16,0.07201416998800192
